lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP023S522,639/2LAA31305N2A2G2S27,GO,non,10,120.0,A 5,10,"6,800000191",8.0,211.0,"0,078000002",,"0,224000007","0,232999995","0,001",2050,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 316 CDI - 32,M10MCDVPF13S250,906AC30KNMD1300NNEC15VA9,GO,non,11,120.0,M 6,"10,89999962","6,900000095",,222.0,"0,086000003",,"0,230000004","0,263000011",0,2356,2399,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 30 L2H2 TDI (163ch),M10VWGVPE29N875,2EC1KM4D1319NMEB1LXA7,GO,non,10,120.0,M 6,"9,600000381","6,699999809",,202.0,,,,,,2356,2739,"""595/2009*64/2012EURO6",,MINIBUS,MOY-INFER,,,,
OPEL,INSIGNIA,INSIGNIA,INSIGNIA Sports Tourer 1.4 Turbo (140ch) Start/Stop BVM6,M10PELVP213S028,0G-ADADLC12BA1M3JDWB5,ES,non,7,103.0,M 6,"7,099999905","4,699999809",,131.0,"0,488000005","0,030999999","0,021",,,1664,1664,"""715/2007*459/2012EURO6",,BREAK,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVPG12P573,639/2KAA71305N1M3G1S28,GO,non,9,100.0,M 6,"9,300000191","6,5",,198.0,"0,046",,"0,196999997","0,216000006",0,1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP605N032,639/2LAB61305N2A1F2S38,GO,non,15,165.0,A 5,"10,89999962",7,,221.0,"0,361000001",,"0,256999999","0,289000005",0,2050,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MAZDA,MAZDA CX-5,CX-5,CX-5 2.0L SKYACTIV-G AWD BVM (160ch),M10MAZVP000S428,GHK9760E,ES,non,9,118.0,M 6,"8,100000381","5,800000191",,155.0,"0,142000005","0,028999999","0,009",,"0,002",1450,1565,715/2007*630/2012EURO5,mars-14,TS TERRAINS/CHEMINS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 3.5 E,M10MCDVP602W784,639/2KAC91280N1A4H7T29,ES,non,18,190.0,A 5,"16,5","9,5",,284.0,"0,226999998","0,030999999","0,029999999",,,2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI 4x4,M10MCDVP0257183,639/2LAA73280N3A2G2U38,GO,non,10,100.0,A 5,"11,19999981","7,5",,234.0,"0,061000001",,"0,228","0,240999997","0,001",2186,2275,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (163ch) BlueMotion,M10VWGVPE09E261,2EC2KN4D1349ENEB25SA9,GO,non,10,120.0,M 6,"8,300000191","6,900000095",,195.0,"0,400999993",,"0,213","0,250999987","0,001",1976,2800,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
