lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
AUDI,A5 CABRIOLET,A5,A5 CABRIOLET 2.0 TDI (177ch) MULTITRONIC 8,M10AUDVP0084446,B8KCGLCF1FAV8W001RB8TBS47MJEM1,GO,non,10,130.0,V 0,"5,800000191","4,599999905",5.0,132.0,"0,103",,"0,143000007","0,158999994",0,1755,1755,"""715/2007*630/2012EURO5",,CABRIOLET,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H3 TDI (136ch),M10VWGVPC45K948,2EC2KH4C1320EMED24TA7,GO,non,9,100.0,M 6,"9,899999619","7,400000095",8300000191.0,218.0,"0,136999995",,"0,214000002","0,238000005","0,001",2100,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,CLASSE B,B 180,B 180 BVM6,M10MCDVPFZ9G295,245GM24GP2HZAAB523,ES,non,7,90.0,M 6,"8,300000191",5,6199999809.0,144.0,"0,101000004","0,044","0,013",,0,1395,1395,"""715/2007*195/2013EURO6",,MONOSPACE COMPACT,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H2 TDI (163ch),M10VWGVPC48R915,2EC2KM4D1320NNEA24VE7,GO,non,10,120.0,M 6,"8,5","6,900000095",75.0,197.0,"0,409000009",,"0,213","0,25","0,001",1982,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 110 CDI,M10MCDVP0212146,639/2KAA11280N3M4A2S29,GO,non,7,70.0,M 6,"9,199999809","6,5",75.0,198.0,"0,097000003",,"0,243000001","0,263000011","0,001",1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (109ch),M10VWGVPE08A222,2EC2KN4B1349NNEB24VA9,GO,non,7,80.0,M 6,"8,600000381","6,900000095",75.0,197.0,"0,393000007",,"0,232999995","0,266000003","0,001",1976,2783,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H3 TDI (109ch) BlueMotion,M10VWGVPE03Y154,2EC2KH4B1349NSED25UB9,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238999993","0,001",2307,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
FORD,TOURNEO,TOURNEO,GRAND TOURNEO CONNECT 1600 (150ch) BVA 5PL,M10FRDVP0392023,PJ2JQGA1BHXE5BABZBASAPA,ES,non,9,110.0,A 6,"10,89999962","6,300000191",8.0,184.0,"0,605000019","0,048999999","0,026000001",,"0,002",1638,1638,"""715/2007*630/2012EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP023E605,639/2LAA31305N2M3F2U38,GO,non,10,120.0,M 6,9,"6,599999905",7400000095.0,195.0,"0,174999997",,"0,225999996","0,247999996","0,001",2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L4H2 TDI (163ch) BlueMotion,M10VWGVPC49N681,2EC2KM4D1350NSEB25VB9,GO,non,10,120.0,M 6,"8,300000191","6,900000095",7400000095.0,195.0,"0,409000009",,"0,213","0,25","0,001",2279,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
