lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
ALFA-ROMEO,159,159,159 SW 2.0 JTDm (136ch),M10ALFVP000J307,939BXR1B65B,GO,non,7,100.0,M 6,"6,800000191","4,300000191",,137.0,"0,066",,"0,149000004","0,174999997","0,001",1615,1615,715/2007*692/2008EURO5,mars-14,BREAK,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP604L843,639/2LAB61280N3A1C2S27,GO,non,15,165.0,A 5,"10,89999962",7,,221.0,"0,361000001",,"0,256999999","0,289000005",0,2075,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVPG126070,639/2KAA31280N3M3C2T38,GO,non,10,120.0,M 6,"8,800000191","6,400000095",,190.0,"0,046",,"0,196999997","0,216000006",0,2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI 4x4,M10MCDVP604D605,639/2LAA73305N1A2G2V27,GO,non,9,100.0,A 5,"11,10000038","7,400000095",,232.0,"0,006",,"0,210999995","0,219999999",0,2356,2585,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
PEUGEOT,208,208,208 3P 1.6 e-HDi FAP (115ch) BVM6,M10PGTVP0064176,CA9HR8/S,GO,non,5,82.0,M 6,"4,599999905","3,400000095",,99.0,"0,344000012",,"0,135000005","0,175999999","0,001",1150,1150,715/2007*630/2012EURO5,mars-14,BERLINE,INFERIEURE,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (109ch),M10VWGVPC50R183,2EC2KN4B1350NNED24VB9,GO,non,8,80.0,M 6,"9,899999619","7,400000095",,218.0,"0,136999995",,"0,214000002","0,238000005","0,001",1976,2783,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI 4x4,M10MCDVP610Y232,639/2KAA33280N1A2G2U28,GO,non,11,120.0,A 5,"11,10000038","7,400000095",,232.0,"0,006",,"0,210999995","0,219999999",0,2186,2275,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVPG11F202,639/2LAA31305N2M3D1U27,GO,non,10,120.0,M 6,"9,5","6,699999809",,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVP021F256,639/2KAA31280N1A2F2S29,GO,non,10,120.0,A 5,10,"6,800000191",8.0,211.0,"0,078000002",,"0,224000007","0,232999995","0,001",1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI 4x4,M10MCDVP6115044,639/2KAA73305N2A2D2S28,GO,non,9,100.0,A 5,"10,89999962","7,199999809",,227.0,"0,006",,"0,210999995","0,219999999",0,2010,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 30 L1H2 TDI (109ch) BlueMotion,M10VWGVPB30B752,2EC1KM4B1319NNEB15VA7,GO,non,7,80.0,M 6,8,"6,699999809",,189.0,"0,398000002",,"0,232999995","0,266000003","0,001",1976,2739,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVPG12J241,639/2KAA31305N2M3F2S28,GO,non,10,120.0,M 6,"8,699999809","6,300000191",,187.0,"0,046",,"0,196999997","0,216000006",0,1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP041S928,639/2LAA31305N1A2C2W27,GO,non,11,120.0,A 5,"10,19999981",7,,216.0,"0,078000002",,"0,224000007","0,232999995","0,001",2586,2600,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,CLASSE E,E 250,E 250 CDI STATION WAGON BVA7 FAP,M10MCDVPFY6G432,212KJ2S3M0NZCGA500,GO,non,11,150.0,A 7,"6,300000191","4,599999905",,135.0,"0,093999997",,"0,148000002","0,159999996",0,1885,1885,"""715/2007*195/2013EURO5",,BREAK,LUXE,,,,
MERCEDES,VIANO,VIANO,VIANO 3.5 E,M10MCDVP025T873,639/2LAC91280N3A4J7U38,ES,non,18,190.0,A 5,"16,5","9,5",,284.0,"0,226999998","0,030999999","0,029999999",,,2186,2275,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H1 TDI (109ch) BlueMotion,M10VWGVPC49K811,2EC2KN4B1320NMED25UB7,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238000005","0,001",2028,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP377W208,639/2LAB61305N1A1K2V27,GO,non,15,165.0,A 5,"10,89999962","7,199999809",,226.0,"0,352999985",,"0,252999991","0,282000005","0,002",2356,2585,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
